 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
156.366,347.243,42.5911,215.395,347.295,8.2201,149.045,473.097,40.7128,154.731,418.563,47.1626,206.371,435.011,51.3258,212.446,473.607,48.3866,,,,222.284,603.532,23.6095,170.915,647.449,123.739,158.85,676.191,150.709,145.531,702.192,176.571,173.056,738.587,150.689,185.336,710.211,128.854,197.244,680.56,102.508,61.8684,842.916,237.903,46.6783,742.091,224.962,63.6551,778.873,246.646,-97.351,699.319,173.826,-96.6918,707.778,201.991,-50.753,709.096,201.994,-52.9316,700.079,174.569,,,,,,
156.149,347.387,42.4999,215.319,347.146,8.38545,149.117,473.179,40.6587,154.689,418.626,47.108,206.355,434.988,51.327,212.494,473.576,48.4138,,,,222.475,603.56,23.7048,171.187,647.516,123.908,158.981,676.199,150.822,145.583,702.132,176.689,173.043,738.571,150.801,185.345,710.255,128.903,197.306,680.691,102.545,61.8399,842.854,237.882,46.6222,742.048,224.988,63.6108,778.823,246.656,-97.3724,699.303,173.834,-96.7103,707.761,201.999,-50.7716,709.077,202.003,-52.9539,700.054,174.579,,,,,,
155.907,347.539,42.424,215.214,346.985,8.56864,149.17,473.267,40.6064,154.624,418.695,47.0592,206.319,434.967,51.3354,212.526,473.544,48.4468,,,,222.668,603.583,23.7994,171.464,647.583,124.078,159.114,676.204,150.939,145.633,702.065,176.811,173.03,738.55,150.918,185.356,710.294,128.957,197.371,680.821,102.585,61.8108,842.789,237.859,46.5659,742.003,225.014,63.5663,778.77,246.667,-97.3935,699.286,173.841,-96.7285,707.743,202.006,-50.7899,709.056,202.011,-52.976,700.028,174.588,,,,,,
155.637,347.699,42.3657,215.077,346.812,8.76895,149.204,473.358,40.5559,154.534,418.77,47.017,206.261,434.946,51.352,212.538,473.513,48.4859,,,,222.858,603.601,23.8922,171.744,647.648,124.248,159.246,676.203,151.057,145.684,701.991,176.937,173.017,738.521,151.04,185.367,710.328,129.014,197.437,680.947,102.628,61.7813,842.72,237.834,46.5096,741.955,225.039,63.5216,778.714,246.678,-97.4143,699.267,173.849,-96.7462,707.724,202.014,-50.8077,709.034,202.019,-52.9978,700.002,174.598,,,,,,
155.337,347.867,42.3273,214.903,346.627,8.98526,149.213,473.455,40.5076,154.417,418.851,46.9822,206.176,434.927,51.3772,212.528,473.483,48.5315,,,,223.046,603.612,23.9821,172.026,647.709,124.414,159.378,676.197,151.176,145.732,701.911,177.065,173.005,738.486,151.167,185.378,710.356,129.076,197.504,681.069,102.672,61.7515,842.647,237.808,46.4533,741.906,225.065,63.4768,778.657,246.69,-97.4347,699.247,173.857,-96.7634,707.703,202.022,-50.8251,709.012,202.028,-53.0192,699.973,174.607,,,,,,
155.005,348.043,42.3111,214.689,346.43,9.21608,149.196,473.555,40.4617,154.269,418.939,46.9553,206.062,434.909,51.4119,212.492,473.453,48.5838,,,,223.23,603.617,24.0681,172.305,647.766,124.576,159.507,676.185,151.295,145.779,701.823,177.194,172.992,738.443,151.297,185.39,710.376,129.14,197.57,681.183,102.718,61.7213,842.571,237.78,46.3971,741.854,225.091,63.432,778.598,246.702,-97.4548,699.226,173.865,-96.7803,707.681,202.03,-50.842,708.987,202.037,-53.0402,699.944,174.617,,,,,,
154.641,348.225,42.3193,214.429,346.223,9.45952,149.148,473.66,40.4183,154.087,419.033,46.9372,205.916,434.892,51.4564,212.428,473.423,48.6431,,,,223.406,603.613,24.1493,172.579,647.816,124.731,159.633,676.165,151.413,145.824,701.727,177.325,172.981,738.391,151.429,185.401,710.388,129.207,197.636,681.289,102.765,61.6909,842.492,237.749,46.341,741.8,225.116,63.3873,778.536,246.715,-97.4745,699.204,173.874,-96.7966,707.658,202.038,-50.8585,708.962,202.045,-53.0608,699.914,174.626,,,,,,
154.243,348.412,42.3536,214.12,346.006,9.71333,149.068,473.769,40.3774,153.869,419.133,46.9283,205.735,434.878,51.5113,212.331,473.394,48.7096,,,,223.575,603.6,24.2248,172.846,647.859,124.879,159.753,676.137,151.528,145.866,701.623,177.456,172.969,738.331,151.563,185.412,710.39,129.275,197.699,681.385,102.812,61.6604,842.41,237.718,46.2851,741.743,225.142,63.3427,778.472,246.728,-97.4938,699.181,173.882,-96.8125,707.633,202.046,-50.8744,708.936,202.054,-53.0811,699.883,174.636,,,,,,
153.808,348.605,42.4158,213.758,345.78,9.97495,148.952,473.882,40.3391,153.611,419.24,46.929,205.515,434.864,51.5768,212.2,473.366,48.7834,,,,223.733,603.577,24.2936,173.103,647.892,125.017,159.867,676.099,151.64,145.905,701.512,177.587,172.958,738.26,151.697,185.422,710.381,129.344,197.758,681.469,102.858,61.6299,842.324,237.684,46.2295,741.685,225.167,63.2984,778.406,246.742,-97.5127,699.156,173.891,-96.8279,707.608,202.054,-50.8898,708.908,202.062,-53.1009,699.85,174.645,,,,,,
153.337,348.802,42.5073,213.339,345.546,10.2415,148.797,473.998,40.3033,153.311,419.354,46.9397,205.254,434.852,51.6532,212.032,473.338,48.8644,,,,223.88,603.544,24.3553,173.346,647.915,125.145,159.973,676.052,151.748,145.94,701.392,177.716,172.947,738.18,151.832,185.43,710.36,129.414,197.814,681.538,102.904,61.5993,842.235,237.649,46.1742,741.624,225.193,63.2545,778.339,246.757,-97.5312,699.131,173.899,-96.8428,707.581,202.063,-50.9047,708.879,202.071,-53.1202,699.817,174.654,,,,,,
152.827,349.003,42.6292,212.86,345.305,10.51,148.601,474.118,40.2697,152.967,419.473,46.9606,204.949,434.842,51.7406,211.823,473.31,48.9529,,,,224.014,603.499,24.4092,173.574,647.924,125.261,160.069,675.993,151.85,145.97,701.263,177.844,172.936,738.088,151.966,185.436,710.326,129.484,197.863,681.593,102.948,61.5689,842.143,237.613,46.1193,741.562,225.218,63.211,778.269,246.772,-97.5493,699.105,173.908,-96.8572,707.553,202.071,-50.9189,708.85,202.079,-53.1391,699.782,174.664,,,,,,
152.277,349.206,42.7821,212.317,345.057,10.7772,148.362,474.241,40.2381,152.576,419.598,46.9916,204.598,434.833,51.8389,211.572,473.281,49.0485,,,,224.133,603.442,24.455,173.783,647.92,125.365,160.154,675.922,151.945,145.996,701.125,177.969,172.925,737.984,152.099,185.439,710.277,129.554,197.906,681.63,102.992,61.5386,842.048,237.575,46.0647,741.497,225.244,63.1681,778.197,246.787,-97.5669,699.077,173.917,-96.8711,707.524,202.08,-50.9327,708.819,202.088,-53.1575,699.747,174.673,,,,,,
151.688,349.41,42.9663,211.708,344.805,11.0399,148.078,474.368,40.2081,152.137,419.729,47.0326,204.199,434.825,51.948,211.277,473.253,49.1514,,,,224.237,603.372,24.4925,173.971,647.9,125.455,160.227,675.838,152.035,146.017,700.978,178.092,172.914,737.869,152.229,185.44,710.212,129.623,197.942,681.649,103.033,61.5086,841.95,237.536,46.0106,741.43,225.27,63.1257,778.123,246.803,-97.584,699.049,173.926,-96.8845,707.494,202.088,-50.9458,708.787,202.096,-53.1754,699.711,174.681,,,,,,
151.058,349.615,43.1817,211.031,344.549,11.2947,147.747,474.497,40.1792,151.648,419.866,47.0834,203.75,434.819,52.0677,210.936,473.224,49.2613,,,,224.324,603.289,24.5218,174.135,647.863,125.531,160.287,675.74,152.116,146.032,700.822,178.212,172.902,737.741,152.358,185.437,710.132,129.692,197.969,681.647,103.074,61.4788,841.849,237.496,45.9568,741.362,225.296,63.084,778.047,246.82,-97.6007,699.019,173.935,-96.8973,707.463,202.097,-50.9583,708.754,202.104,-53.1928,699.674,174.69,,,,,,
150.386,349.82,43.4276,210.285,344.29,11.5387,147.37,474.629,40.1511,151.108,420.008,47.1435,203.251,434.813,52.1974,210.548,473.194,49.3781,,,,224.393,603.192,24.5432,174.274,647.808,125.593,160.332,675.628,152.191,146.041,700.656,178.328,172.89,737.601,152.484,185.43,710.033,129.759,197.988,681.624,103.112,61.4494,841.745,237.455,45.9035,741.291,225.322,63.0431,777.97,246.838,-97.6168,698.989,173.944,-96.9095,707.431,202.106,-50.9703,708.72,202.112,-53.2096,699.636,174.699,,,,,,
149.673,350.023,43.7029,209.468,344.03,11.7686,146.944,474.763,40.1229,150.517,420.154,47.212,202.7,434.807,52.3369,210.112,473.162,49.5015,,,,224.445,603.08,24.5571,174.385,647.733,125.642,160.361,675.5,152.258,146.044,700.482,178.44,172.878,737.447,152.607,185.419,709.917,129.827,197.996,681.579,103.15,61.4205,841.639,237.413,45.8506,741.219,225.349,63.0029,777.89,246.857,-97.6325,698.958,173.953,-96.9213,707.398,202.115,-50.9816,708.685,202.12,-53.226,699.597,174.707,,,,,,
148.919,350.224,44.0062,208.58,343.769,11.9816,146.472,474.899,40.0941,149.875,420.304,47.2884,202.097,434.801,52.4854,209.627,473.13,49.6314,,,,224.478,602.954,24.5643,174.467,647.637,125.677,160.374,675.357,152.317,146.04,700.298,178.55,172.865,737.281,152.727,185.404,709.782,129.894,197.994,681.511,103.188,61.3919,841.53,237.371,45.798,741.145,225.376,62.9634,777.809,246.877,-97.6477,698.926,173.962,-96.9325,707.365,202.124,-50.9923,708.65,202.128,-53.2418,699.558,174.716,,,,,,
148.123,350.422,44.3353,207.621,343.51,12.1749,145.951,475.036,40.0639,149.181,420.458,47.3714,201.442,434.795,52.6423,209.094,473.095,49.7673,,,,224.493,602.814,24.5658,174.519,647.519,125.699,160.369,675.198,152.369,146.029,700.104,178.655,172.852,737.1,152.844,185.384,709.629,129.961,197.981,681.418,103.226,61.3638,841.418,237.328,45.7458,741.069,225.405,62.9248,777.726,246.898,-97.6624,698.894,173.971,-96.9432,707.33,202.133,-51.0025,708.613,202.136,-53.257,699.518,174.724,,,,,,
147.288,350.615,44.6878,206.594,343.252,12.3462,145.385,475.175,40.0315,148.437,420.614,47.46,200.736,434.788,52.8068,208.513,473.057,49.909,,,,224.49,602.658,24.5627,174.539,647.38,125.71,160.347,675.022,152.415,146.01,699.902,178.758,172.838,736.907,152.958,185.36,709.455,130.028,197.957,681.301,103.265,61.3362,841.305,237.286,45.6939,740.992,225.434,62.887,777.641,246.92,-97.6765,698.86,173.981,-96.9533,707.294,202.142,-51.0121,708.576,202.144,-53.2718,699.477,174.732,,,,,,
146.414,350.803,45.0609,205.499,342.997,12.4932,144.775,475.315,39.996,147.644,420.773,47.5528,199.98,434.78,52.9781,207.886,473.017,50.0562,,,,224.469,602.487,24.5565,174.527,647.217,125.711,160.307,674.829,152.454,145.984,699.691,178.858,172.823,736.7,153.071,185.33,709.263,130.098,197.923,681.158,103.307,61.309,841.189,237.244,45.6421,740.913,225.465,62.85,777.555,246.945,-97.6901,698.826,173.99,-96.963,707.258,202.152,-51.0211,708.538,202.151,-53.2859,699.436,174.74,,,,,,
145.502,350.985,45.4514,204.339,342.747,12.6137,144.121,475.455,39.9566,146.804,420.934,47.6483,199.176,434.769,53.1553,207.213,472.974,50.2085,,,,224.43,602.301,24.5489,174.483,647.032,125.702,160.249,674.621,152.489,145.95,699.471,178.955,172.807,736.48,153.181,185.296,709.05,130.169,197.877,680.991,103.352,61.2823,841.071,237.203,45.5905,740.833,225.497,62.8137,777.468,246.971,-97.7033,698.792,174,-96.9721,707.221,202.162,-51.0295,708.499,202.159,-53.2995,699.395,174.748,,,,,,
