Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-132.45838929809537,67.9897907954046,95.15411700371145,-242.6625421030049,-100.31879904520432,-153.8500134614637,-98.75884071475043,-162.2269449179459,50.99253448949333,-27.537976302370453,-65.64923485758575,9.118433530062065,17.71817482404716,548.2844122909682,211.26358511080042
-132.22788898147303,68.67308129882606,94.76921947507336,-242.04124841104243,-101.24482370126395,-152.71264999219298,-97.80325790168902,-160.4649478519383,52.433514741609855,-27.71666858532169,-65.3409021837371,10.5475675692825,16.726669636241805,549.608114020816,211.5684296449153
-132.01307786301126,69.23116114007068,94.43361122299792,-241.6919997526485,-102.0088861005056,-151.66832726735043,-97.18138321653839,-159.00035078250474,53.61813128941659,-27.66436971109502,-65.14254510855584,11.641476397689624,15.966658645151067,550.767521033391,211.82026830043893
-131.82790224243954,69.77530933053717,94.09657824483381,-241.40575459674864,-102.58158645681627,-150.82106008976302,-96.69166781862825,-157.68276770613758,54.57235143806872,-27.39823779921902,-65.05376381198651,12.427139955111402,15.222285726774073,551.90739385369,212.04857267946784
-131.6636386621987,70.21600845938848,93.80682689195368,-241.3276784406279,-103.00010161655385,-150.0735975808381,-96.49063110659998,-156.45091994292963,55.34290300718762,-26.980783037842897,-65.06098020218458,12.992557391546233,14.668446866815739,552.8985491312952,212.2307710838209
-131.53130644110283,70.63053648088068,93.52538926312613,-241.3063360019555,-103.26078548611028,-149.4857534970278,-96.40039747735732,-155.2242715022444,55.949210690980884,-26.465978966684776,-65.13626957670508,13.39257645906844,14.150144768856853,553.847121414416,212.3901656235512
-131.42673254831223,70.95714097921343,93.28214579569949,-241.43159816975418,-103.40517489898693,-148.98586516254642,-96.49353753267246,-154.00318532019048,56.4212013657933,-25.919042669950972,-65.2486199214385,13.699532346079573,13.782401865502544,554.6689736296452,212.51268530354375
-131.35832727002477,71.24187699160142,93.05044223477823,-241.60899775011288,-103.44354622858485,-148.6091788941101,-96.6429943370675,-152.78818161420952,56.77632285897742,-25.387632269559465,-65.36955887743339,13.951480419280083,13.467938946938746,555.4339957256004,212.61442574720067
-131.3257988368598,71.44983891989948,92.84271433643873,-241.884949783738,-103.40598578364377,-148.32698836663064,-96.87435328575559,-151.6333189298982,57.02473537729081,-24.910464746659247,-65.48020850186207,14.176907455699741,13.266024510225852,556.0994388743395,212.68950110776908
-131.33481567802448,71.59897616026787,92.64391007541757,-242.22876583446103,-103.2988615438743,-148.16652334305846,-97.13508159633811,-150.59756851238657,57.17061718618566,-24.51393911016973,-65.57527818883362,14.380434339693423,13.134251760677074,556.7000793640357,212.74715308867277
-131.38791307277924,71.68207034899932,92.45231265319241,-242.6555568172636,-103.12720843382387,-148.14569048575243,-97.42156391761564,-149.76581097077042,57.18972217052464,-24.206753641018096,-65.6615670734377,14.539935173591914,13.079194375523528,557.2311745383436,212.78744945184303
-131.48680921756034,71.69048960677185,92.2659687625561,-243.20288519965624,-102.8855437935833,-148.28136043455257,-97.75443558783265,-149.24419923576477,57.05144468783521,-23.995270026092307,-65.76263895642231,14.623854982781564,13.110847478486363,557.6929741675567,212.81280336834027
-131.635634868579,71.64470369643934,92.07125370334046,-243.85645850647992,-102.5525927846372,-148.62340662225952,-98.0927061806263,-149.14995143895752,56.67625803054518,-23.861214490454568,-65.90053023805855,14.554625273537752,13.185178002010355,558.1158023779766,212.82905946590745
-131.8312669030094,71.51117522265645,91.88082741189517,-244.71374807072593,-102.1189767334865,-149.15622466965254,-98.51167990273407,-149.64556077887465,55.98478593776,-23.793999903886153,-66.10688925285312,14.261340411839836,13.362347356408677,558.4655659549205,212.83081338320065
-132.0782709596736,71.33743287149574,91.67069205928387,-245.7196325352028,-101.55362643729549,-149.93445464807132,-98.91887616790734,-150.8895900873719,54.8359661177354,-23.75509318106326,-66.39036417477801,13.616500348735196,13.549204866096687,558.8050804818347,212.82937684274455
-132.36796335304018,71.06637187380827,91.46924132609566,-247.01169544060002,-100.86308195902467,-150.88580251673574,-99.4337239227429,-153.09158981540963,53.10759846812701,-23.731174408668014,-66.75479210686971,12.530528698476138,13.854250923652895,559.0656786198723,212.8122410468584
-132.70487023085465,70.77156337389316,91.24291406815267,-248.47424310743443,-100.02672117891115,-152.04946063096205,-99.91432164214858,-156.41349298749955,50.62326482230102,-23.688928105222296,-67.16324738384439,10.872311405250374,14.136140133653864,559.340858842632,212.7955644022768
-133.07438676560926,70.37305879190646,91.03570097975064,-250.26301722608798,-99.08419202275785,-153.28832853813984,-100.53292289942556,-161.04085905486818,47.261146819837656,-23.646927134508953,-67.56804300594094,8.601311502790177,14.550362169818873,559.527488242942,212.7595756449852
-133.4818375792273,69.96940853890233,90.80392051856556,-252.186533717891,-98.03640803000432,-154.63161753406365,-101.1131607266254,-167.03737168958102,42.86646655440541,-23.613978695673193,-67.88221994364976,5.664573518364146,14.907979766451989,559.7491707834107,212.72622199750822
-133.90742427760892,69.45748870037121,90.60491537813125,-254.40772225251794,-96.95667948473151,-155.8968451199574,-101.89128795016074,-174.44613757929554,37.38445012858564,-23.66798689918558,-68.02576170670521,2.1515510653040257,15.41072401121838,559.8677433850422,212.66921762718724
-134.3577713555288,68.96043016988156,90.38522661272475,-256.6565393437946,-95.85893080187977,-157.1321152188314,-102.66021932375763,-183.12693004248726,30.74946029638196,-23.865840463904632,-67.8993955385471,-1.8599407231561076,15.822496082115721,560.036952923773,212.6155645043447
-134.80948291493752,68.35194328250299,90.21366787796732,-259.11002354419963,-94.83356870739156,-158.14692442508766,-103.71097864285123,-192.9124815414916,23.027389098144635,-24.32132952913248,-67.44694162409496,-6.141142137875148,16.390986884385295,560.0849456396609,212.53315672451828
-135.2720593314702,67.77960318127056,90.02409475505836,-261.4333918641175,-93.88588153197168,-159.04634952652953,-104.78584667628135,-203.44455244422966,14.27254517656978,-25.086775308877076,-66.6159179822097,-10.523440620738903,16.83325631507936,560.1951473552488,212.45527313589722
-135.7200552969274,67.09317243504717,89.89622918133868,-263.83539940085626,-93.09932016763334,-159.66316726344786,-106.20422462914658,-214.39837667719598,4.677910215432701,-26.239235735725504,-65.422191416559,-14.730145672770695,17.443389401588313,560.1629899555755,212.34391588628512
-136.16730903306146,66.46512678316799,89.74984533861499,-265.9374242320346,-92.44863400645687,-160.18053469271504,-107.63209080536672,-225.31666433717172,-5.605076985990771,-27.75206217476782,-63.88823486670669,-18.62535781578468,17.89169006461919,560.2032892806322,212.2389142052076
-136.58673313822533,65.7210446901582,89.67512945114771,-268.00246785535154,-91.99647455047503,-160.46045408359905,-109.4019106904892,-235.87974310925162,-16.307317921124564,-29.611124249517,-62.098695643878024,-22.013525452300424,18.5195606646175,560.0788730186975,212.09683738815994
-136.99744348665615,65.05849124364508,89.57686111113435,-269.6267252783566,-91.67919950701234,-160.75454283602897,-111.099454720196,-245.70880853122023,-27.248608390076303,-31.68881750973569,-60.12046644867683,-24.897596704799902,18.95037703010438,560.0375642245276,211.96453786855122
-137.3723617579991,64.2783699950512,89.55515552209043,-271.14400502703995,-91.54025004885781,-160.92876977562764,-113.08033568825978,-254.65163840719666,-38.15638741837425,-33.89658055328386,-58.055144823508584,-27.222407492692636,19.57431847817446,559.8101841068625,211.7931743961433
-137.73485349327666,63.60309063907578,89.50088462679835,-272.13557335966857,-91.4892861176407,-161.26731140078093,-114.8703776479991,-262.52347742686953,-48.88869571034718,-36.063241759016464,-55.95496371755181,-29.132140266688904,19.967314050518585,559.6789466477704,211.63648694236497
-138.05743397130706,62.80811151994277,89.52551281290691,-273.0113012523992,-91.56691649121593,-161.59818766621132,-116.87483890040909,-269.3907041720169,-59.22243638316494,-38.10620955264437,-53.890298627200124,-30.660478222989894,20.570026738071082,559.3430703725495,211.44007444957367
-138.3681434501285,62.141847413553535,89.50583685794402,-273.33731764378956,-91.6760904095522,-162.19897035519526,-118.577837528131,-275.24585172081004,-69.08606135237063,-39.88921240473938,-51.87101967785346,-32.004592035611125,20.90996693648398,559.1203457705516,211.2650350085146
-138.63741525329218,61.35276807005602,89.56599998404053,-273.5978149771162,-91.8756513881908,-162.82534537520075,-120.4487516199857,-280.3014093086235,-78.31675460291407,-41.40287909401018,-49.9312945769585,-33.185490732383016,21.48032792116132,558.6770225886579,211.0508170406813
-138.89804952084734,60.71422768519151,89.57024245291781,-273.33218921233777,-92.07991847830097,-163.72769222677144,-121.9315159652883,-284.6204967491886,-86.90985013388126,-42.587086801449175,-48.053949135334015,-34.363167429621065,21.758446657400732,558.3691932872115,210.86515174506346
