 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-249.683,238.929,39.2018,-322.825,238.645,24.6887,-335.044,450.61,64.8363,-307.773,361.152,57.9643,-270.523,362.195,45.5823,-298,457.89,63.3756,,,,-365.426,521.451,36.1768,-316.209,570.336,103.68,-296.258,592.099,130.752,-277.681,608.202,157.179,-261.432,571.534,169.079,-276.811,555.202,140.398,-300.663,532.844,111.052,-139.533,719.879,303.449,-130.057,603.149,274.599,-142.573,646.048,319.298,3.50071,536.116,222.965,4.37881,547.125,248.149,48.1082,539.998,250.549,46.1306,526.635,225.472,,,,,,
-249.818,238.944,39.1429,-322.953,238.631,24.5577,-335.486,450.496,65.004,-308.103,361.046,57.9969,-270.822,362.168,45.6824,-298.442,457.733,63.7915,,,,-365.668,521.472,36.4211,-316.408,570.461,103.862,-296.388,592.205,130.905,-277.775,608.294,157.299,-261.592,571.628,169.27,-277.057,555.29,140.663,-301.048,532.958,111.396,-139.513,719.904,303.457,-130.098,603.101,274.708,-142.549,646.081,319.324,3.49802,536.133,222.999,4.37857,547.141,248.183,48.108,540.002,250.585,46.1242,526.64,225.509,,,,,,
-249.96,238.965,39.0846,-323.084,238.616,24.4188,-335.95,450.383,65.1808,-308.451,360.942,58.0332,-271.137,362.146,45.7932,-298.912,457.578,64.2276,,,,-365.928,521.498,36.6815,-316.621,570.592,104.058,-296.529,592.316,131.071,-277.878,608.389,157.43,-261.762,571.723,169.471,-277.316,555.381,140.937,-301.446,533.078,111.749,-139.496,719.927,303.465,-130.14,603.052,274.814,-142.526,646.11,319.35,3.49351,536.15,223.031,4.3765,547.155,248.216,48.1058,540.004,250.619,46.1159,526.643,225.544,,,,,,
-250.106,238.994,39.0285,-323.219,238.6,24.2725,-336.435,450.272,65.3662,-308.816,360.838,58.0737,-271.467,362.129,45.915,-299.407,457.426,64.6819,,,,-366.207,521.528,36.957,-316.848,570.729,104.266,-296.682,592.432,131.248,-277.988,608.487,157.57,-261.943,571.82,169.681,-277.585,555.476,141.219,-301.857,533.205,112.11,-139.48,719.947,303.474,-130.183,603.003,274.919,-142.505,646.137,319.376,3.48719,536.165,223.062,4.37259,547.168,248.248,48.1018,540.005,250.651,46.1058,526.646,225.578,,,,,,
-250.256,239.032,38.9762,-323.354,238.584,24.1196,-336.939,450.163,65.5599,-309.197,360.738,58.1187,-271.812,362.119,46.0478,-299.926,457.278,65.1525,,,,-366.505,521.564,37.2465,-317.089,570.872,104.487,-296.845,592.551,131.436,-278.107,608.586,157.72,-262.133,571.918,169.901,-277.863,555.574,141.509,-302.279,533.339,112.477,-139.466,719.965,303.484,-130.226,602.953,275.021,-142.486,646.161,319.402,3.47905,536.179,223.091,4.36683,547.179,248.278,48.0958,540.005,250.683,46.0938,526.647,225.61,,,,,,
-250.408,239.08,38.9292,-323.488,238.569,23.961,-337.46,450.058,65.7615,-309.592,360.642,58.1687,-272.169,362.117,46.1921,-300.466,457.137,65.637,,,,-366.82,521.604,37.549,-317.342,571.02,104.72,-297.019,592.673,131.635,-278.234,608.688,157.879,-262.332,572.016,170.129,-278.151,555.675,141.805,-302.71,533.478,112.85,-139.455,719.98,303.494,-130.27,602.903,275.12,-142.469,646.182,319.427,3.46909,536.192,223.119,4.35922,547.19,248.307,48.0879,540.003,250.713,46.08,526.647,225.641,,,,,,
-250.56,239.141,38.8896,-323.619,238.554,23.7977,-337.995,449.958,65.9704,-309.998,360.551,58.224,-272.536,362.123,46.348,-301.025,457.004,66.1332,,,,-367.151,521.65,37.863,-317.607,571.173,104.963,-297.203,592.798,131.844,-278.368,608.79,158.046,-262.539,572.114,170.364,-278.447,555.778,142.105,-303.149,533.622,113.225,-139.446,719.992,303.505,-130.315,602.852,275.217,-142.453,646.2,319.452,3.45731,536.204,223.145,4.34976,547.199,248.335,48.0781,540,250.741,46.0644,526.646,225.67,,,,,,
-250.709,239.215,38.8592,-323.743,238.541,23.6308,-338.543,449.864,66.1861,-310.413,360.467,58.2853,-272.911,362.14,46.5157,-301.599,456.881,66.6386,,,,-367.498,521.702,38.1874,-317.883,571.33,105.216,-297.396,592.925,132.062,-278.51,608.893,158.221,-262.754,572.21,170.605,-278.75,555.882,142.409,-303.594,533.771,113.603,-139.439,720.001,303.516,-130.36,602.8,275.312,-142.44,646.215,319.476,3.44371,536.215,223.17,4.33844,547.206,248.361,48.0663,539.996,250.768,46.0469,526.644,225.698,,,,,,
-250.853,239.305,38.8404,-323.858,238.529,23.4617,-339.1,449.777,66.4081,-310.834,360.392,58.353,-273.291,362.168,46.6954,-302.187,456.771,67.1509,,,,-367.859,521.758,38.5204,-318.169,571.49,105.478,-297.599,593.054,132.289,-278.658,608.995,158.403,-262.975,572.306,170.851,-279.059,555.988,142.715,-304.043,533.924,113.98,-139.434,720.008,303.528,-130.406,602.748,275.403,-142.429,646.227,319.5,3.42828,536.225,223.193,4.32525,547.213,248.386,48.0525,539.99,250.794,46.0275,526.641,225.724,,,,,,
-250.99,239.412,38.8352,-323.96,238.519,23.2918,-339.664,449.698,66.6358,-311.258,360.327,58.4276,-273.674,362.209,46.8871,-302.784,456.673,67.6676,,,,-368.233,521.821,38.8605,-318.464,571.652,105.748,-297.809,593.183,132.523,-278.814,609.098,158.592,-263.203,572.399,171.102,-279.372,556.095,143.022,-304.495,534.079,114.356,-139.432,720.012,303.541,-130.452,602.695,275.492,-142.42,646.236,319.524,3.41103,536.233,223.214,4.31018,547.218,248.409,48.0368,539.983,250.818,46.0064,526.636,225.749,,,,,,
