 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-78.2599,288.12,26.3994,-142.688,268.399,23.8259,-195.665,417.041,66.2177,-152.669,335.298,49.6981,-104.542,348.931,41.7491,-142.727,436.088,76.6386,,,,-229.14,519.509,46.7737,-220.406,617.303,141.619,-212.724,659.399,189.64,-207.901,695.675,240.353,-168.535,654.216,255.798,-183.48,625.406,212.25,-192.977,594.398,167.879,-160.409,775.428,288.112,-108.078,691.759,292.367,-142.264,729.468,306.726,23.8281,651.12,261.194,26.1029,664.516,284.844,66.9954,662.883,278.487,59.2257,649.537,256.694
-78.2614,288.12,26.3984,-142.69,268.399,23.8227,-195.668,417.04,66.2141,-152.671,335.298,49.6951,-104.544,348.93,41.7481,-142.731,436.087,76.6363,,,,-229.145,519.506,46.7701,-220.412,617.3,141.616,-212.73,659.395,189.638,-207.909,695.671,240.352,-168.543,654.212,255.797,-183.488,625.402,212.248,-192.984,594.394,167.877,-160.416,775.423,288.111,-108.084,691.756,292.366,-142.271,729.464,306.726,23.8206,651.115,261.2,26.0948,664.516,284.849,66.9881,662.882,278.493,59.219,649.534,256.701
-78.2629,288.119,26.3973,-142.691,268.399,23.8194,-195.671,417.038,66.2104,-152.673,335.297,49.6919,-104.546,348.929,41.7471,-142.735,436.087,76.6339,,,,-229.149,519.504,46.7663,-220.418,617.296,141.613,-212.737,659.391,189.636,-207.916,695.667,240.351,-168.55,654.207,255.796,-183.495,625.398,212.245,-192.991,594.391,167.874,-160.423,775.419,288.109,-108.091,691.753,292.365,-142.278,729.46,306.726,23.8127,651.11,261.206,26.0863,664.515,284.853,66.9805,662.881,278.499,59.2119,649.531,256.708
-78.2644,288.119,26.3963,-142.692,268.399,23.816,-195.674,417.037,66.2066,-152.675,335.297,49.6888,-104.548,348.929,41.7461,-142.74,436.086,76.6314,,,,-229.154,519.502,46.7624,-220.425,617.293,141.61,-212.744,659.386,189.634,-207.923,695.662,240.349,-168.558,654.203,255.794,-183.503,625.394,212.243,-192.998,594.387,167.871,-160.431,775.415,288.108,-108.098,691.75,292.363,-142.286,729.455,306.725,23.8045,651.105,261.212,26.0774,664.514,284.858,66.9724,662.879,278.505,59.2044,649.528,256.714
-78.2659,288.118,26.3952,-142.694,268.398,23.8127,-195.677,417.035,66.2028,-152.677,335.296,49.6855,-104.549,348.928,41.7451,-142.744,436.086,76.6289,,,,-229.158,519.499,46.7583,-220.431,617.29,141.606,-212.751,659.382,189.631,-207.931,695.658,240.347,-168.566,654.199,255.792,-183.511,625.39,212.24,-193.006,594.384,167.868,-160.438,775.41,288.106,-108.105,691.748,292.36,-142.294,729.451,306.724,23.7959,651.101,261.218,26.0681,664.514,284.863,66.964,662.878,278.511,59.1966,649.525,256.72
-78.2674,288.117,26.3942,-142.695,268.398,23.8092,-195.68,417.034,66.1988,-152.679,335.296,49.6823,-104.551,348.928,41.744,-142.749,436.086,76.6262,,,,-229.163,519.497,46.754,-220.438,617.287,141.603,-212.758,659.378,189.629,-207.938,695.654,240.345,-168.574,654.194,255.79,-183.518,625.386,212.236,-193.013,594.38,167.865,-160.446,775.406,288.104,-108.112,691.746,292.357,-142.302,729.448,306.724,23.7869,651.096,261.223,26.0585,664.513,284.867,66.9552,662.877,278.516,59.1883,649.522,256.727
-78.269,288.117,26.3931,-142.697,268.398,23.8058,-195.683,417.032,66.1947,-152.681,335.295,49.679,-104.553,348.927,41.7429,-142.753,436.085,76.6235,,,,-229.168,519.494,46.7496,-220.445,617.284,141.599,-212.766,659.374,189.626,-207.946,695.649,240.342,-168.582,654.19,255.787,-183.526,625.383,212.232,-193.021,594.376,167.861,-160.454,775.402,288.102,-108.119,691.745,292.354,-142.311,729.444,306.723,23.7776,651.091,261.229,26.0485,664.512,284.872,66.946,662.875,278.522,59.1797,649.519,256.733
-78.2706,288.116,26.392,-142.698,268.398,23.8023,-195.687,417.03,66.1905,-152.683,335.295,49.6756,-104.555,348.927,41.7418,-142.758,436.085,76.6207,,,,-229.174,519.492,46.745,-220.451,617.281,141.595,-212.773,659.369,189.623,-207.953,695.645,240.34,-168.59,654.186,255.784,-183.534,625.38,212.228,-193.029,594.373,167.858,-160.462,775.398,288.099,-108.126,691.743,292.35,-142.32,729.44,306.722,23.7678,651.086,261.234,26.0381,664.511,284.876,66.9364,662.874,278.527,59.1707,649.516,256.738
-78.2722,288.116,26.3909,-142.699,268.398,23.7988,-195.69,417.029,66.1862,-152.685,335.295,49.6722,-104.557,348.926,41.7407,-142.763,436.085,76.6178,,,,-229.179,519.489,46.7403,-220.459,617.277,141.59,-212.78,659.365,189.619,-207.961,695.64,240.337,-168.598,654.182,255.781,-183.542,625.376,212.224,-193.037,594.369,167.854,-160.471,775.395,288.097,-108.134,691.742,292.346,-142.329,729.437,306.721,23.7578,651.081,261.239,26.0273,664.509,284.88,66.9265,662.872,278.532,59.1613,649.513,256.744
-78.2738,288.115,26.3898,-142.701,268.398,23.7953,-195.694,417.027,66.1818,-152.687,335.294,49.6688,-104.559,348.926,41.7396,-142.768,436.084,76.6149,,,,-229.185,519.487,46.7354,-220.466,617.274,141.586,-212.788,659.361,189.616,-207.968,695.636,240.334,-168.606,654.178,255.778,-183.549,625.373,212.22,-193.046,594.366,167.85,-160.479,775.391,288.094,-108.141,691.741,292.342,-142.339,729.434,306.72,23.7474,651.076,261.244,26.0162,664.508,284.884,66.9163,662.87,278.537,59.1515,649.51,256.749
