 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-229.91,252.81,45.4795,-299.532,258.051,31.6973,-293.95,434.861,51.5742,-287.611,369.431,53.4933,-230.373,364.944,57.7722,-229.915,419.164,68.1045,-203.263,524.361,-9.16541,-277.147,522.803,27.5221,-237.802,547.945,132.549,-222.717,573.044,164.821,-210.703,590.957,209.048,-180.318,543.996,218.829,-197.719,536.8,176.213,-214.928,521.495,142.623,-109.111,666.332,336.217,-74.6747,570.854,301.168,-98.1541,598.965,340.463,46.1941,520.527,249.251,46.3915,532.652,273.009,87.7314,537.544,270.045,86.7851,526.994,245.635,,,,,,
-229.911,252.81,45.4802,-299.532,258.052,31.6962,-293.946,434.862,51.5724,-287.609,369.432,53.492,-230.371,364.944,57.7719,-229.912,419.165,68.1031,-203.258,524.359,-9.16882,-277.143,522.804,27.5186,-237.797,547.945,132.547,-222.712,573.044,164.819,-210.698,590.957,209.046,-180.315,543.997,218.828,-197.714,536.799,176.211,-214.923,521.494,142.621,-109.107,666.331,336.217,-74.6726,570.853,301.169,-98.1512,598.965,340.463,46.1995,520.528,249.251,46.3949,532.653,273.01,87.7357,537.545,270.047,86.7906,526.994,245.637,,,,,,
-229.911,252.81,45.4808,-299.532,258.054,31.6951,-293.943,434.863,51.5707,-287.607,369.434,53.4908,-230.37,364.944,57.7715,-229.909,419.165,68.1018,-203.252,524.356,-9.17218,-277.139,522.804,27.5152,-237.793,547.945,132.544,-222.707,573.044,164.816,-210.694,590.958,209.044,-180.312,543.997,218.828,-197.71,536.799,176.209,-214.918,521.493,142.618,-109.103,666.331,336.218,-74.6707,570.852,301.169,-98.1484,598.965,340.463,46.2047,520.528,249.251,46.3981,532.653,273.011,87.74,537.545,270.049,86.7958,526.994,245.638,,,,,,
-229.911,252.81,45.4814,-299.533,258.055,31.6941,-293.939,434.865,51.5692,-287.605,369.435,53.4896,-230.368,364.945,57.7711,-229.907,419.166,68.1004,-203.247,524.354,-9.1755,-277.134,522.805,27.5119,-237.788,547.945,132.542,-222.703,573.044,164.814,-210.69,590.958,209.042,-180.309,543.998,218.827,-197.705,536.799,176.208,-214.913,521.492,142.616,-109.099,666.331,336.219,-74.6689,570.851,301.17,-98.1457,598.965,340.463,46.2096,520.528,249.251,46.4012,532.653,273.012,87.744,537.545,270.051,86.8009,526.994,245.639,,,,,,
-229.912,252.811,45.4819,-299.533,258.056,31.6931,-293.936,434.866,51.5678,-287.603,369.436,53.4885,-230.366,364.945,57.7707,-229.904,419.167,68.0991,-203.241,524.352,-9.17877,-277.13,522.805,27.5086,-237.784,547.945,132.539,-222.698,573.045,164.812,-210.686,590.959,209.04,-180.306,543.999,218.827,-197.701,536.798,176.206,-214.908,521.492,142.614,-109.095,666.331,336.219,-74.6672,570.851,301.17,-98.1431,598.965,340.463,46.2144,520.529,249.251,46.4041,532.653,273.013,87.7479,537.545,270.053,86.8058,526.993,245.641,,,,,,
-229.912,252.811,45.4825,-299.533,258.057,31.6921,-293.932,434.867,51.5664,-287.602,369.437,53.4874,-230.364,364.945,57.7704,-229.901,419.167,68.0978,-203.236,524.349,-9.18197,-277.126,522.806,27.5054,-237.78,547.945,132.537,-222.694,573.045,164.809,-210.682,590.961,209.038,-180.303,544,218.827,-197.698,536.799,176.204,-214.904,521.491,142.612,-109.092,666.331,336.22,-74.6655,570.85,301.171,-98.1407,598.965,340.463,46.219,520.529,249.251,46.407,532.654,273.014,87.7516,537.546,270.055,86.8104,526.993,245.642,,,,,,
-229.912,252.811,45.4829,-299.533,258.058,31.6912,-293.929,434.868,51.5653,-287.6,369.438,53.4864,-230.362,364.945,57.77,-229.898,419.168,68.0965,-203.231,524.347,-9.18511,-277.121,522.806,27.5024,-237.776,547.946,132.535,-222.69,573.046,164.807,-210.678,590.962,209.037,-180.301,544.002,218.827,-197.694,536.799,176.203,-214.9,521.491,142.61,-109.089,666.331,336.22,-74.664,570.85,301.171,-98.1383,598.965,340.463,46.2234,520.529,249.252,46.4096,532.654,273.015,87.7551,537.546,270.057,86.8149,526.993,245.644,,,,,,
-229.913,252.811,45.4834,-299.533,258.059,31.6903,-293.926,434.87,51.5642,-287.597,369.439,53.4854,-230.36,364.946,57.7696,-229.895,419.168,68.0952,-203.226,524.344,-9.18818,-277.117,522.806,27.4994,-237.772,547.946,132.533,-222.686,573.048,164.805,-210.674,590.963,209.035,-180.298,544.003,218.827,-197.691,536.799,176.202,-214.896,521.491,142.608,-109.086,666.331,336.221,-74.6626,570.849,301.172,-98.1361,598.965,340.463,46.2277,520.529,249.252,46.4122,532.654,273.016,87.7585,537.546,270.059,86.8192,526.993,245.645,,,,,,
-229.913,252.812,45.4838,-299.533,258.06,31.6894,-293.922,434.871,51.5632,-287.595,369.44,53.4845,-230.358,364.946,57.7692,-229.892,419.169,68.094,-203.221,524.342,-9.19117,-277.113,522.807,27.4964,-237.768,547.947,132.531,-222.682,573.049,164.802,-210.671,590.965,209.033,-180.296,544.005,218.827,-197.687,536.8,176.2,-214.892,521.49,142.606,-109.083,666.331,336.221,-74.6612,570.849,301.173,-98.134,598.965,340.463,46.2317,520.529,249.252,46.4146,532.654,273.017,87.7617,537.546,270.061,86.8233,526.992,245.647,,,,,,
-229.913,252.812,45.4843,-299.533,258.062,31.6886,-293.919,434.872,51.5624,-287.593,369.441,53.4836,-230.356,364.946,57.7688,-229.889,419.17,68.0928,-203.217,524.339,-9.19408,-277.109,522.807,27.4936,-237.764,547.948,132.529,-222.679,573.05,164.8,-210.668,590.967,209.032,-180.294,544.007,218.827,-197.685,536.801,176.199,-214.889,521.49,142.605,-109.08,666.332,336.222,-74.66,570.849,301.173,-98.132,598.966,340.464,46.2356,520.529,249.253,46.4169,532.654,273.018,87.7648,537.546,270.064,86.8271,526.992,245.648,,,,,,
-229.913,252.812,45.4846,-299.533,258.063,31.6879,-293.915,434.874,51.5617,-287.591,369.442,53.4828,-230.354,364.947,57.7685,-229.886,419.17,68.0917,-203.212,524.337,-9.19689,-277.105,522.807,27.4909,-237.761,547.95,132.527,-222.675,573.052,164.798,-210.664,590.969,209.03,-180.292,544.009,218.827,-197.682,536.802,176.198,-214.885,521.491,142.603,-109.078,666.332,336.222,-74.6589,570.848,301.174,-98.1301,598.966,340.464,46.2392,520.53,249.253,46.419,532.654,273.019,87.7677,537.546,270.066,86.8308,526.992,245.65,,,,,,
-229.914,252.813,45.485,-299.533,258.064,31.6872,-293.912,434.875,51.561,-287.589,369.443,53.482,-230.352,364.947,57.7681,-229.883,419.171,68.0906,-203.207,524.335,-9.19961,-277.1,522.808,27.4883,-237.758,547.951,132.525,-222.672,573.054,164.796,-210.661,590.971,209.028,-180.291,544.011,218.827,-197.679,536.803,176.197,-214.882,521.491,142.602,-109.076,666.333,336.223,-74.6578,570.848,301.175,-98.1283,598.967,340.464,46.2427,520.53,249.254,46.421,532.654,273.02,87.7704,537.546,270.068,86.8343,526.992,245.651,,,,,,
-229.914,252.813,45.4854,-299.533,258.065,31.6865,-293.908,434.876,51.5605,-287.587,369.444,53.4812,-230.35,364.947,57.7677,-229.88,419.172,68.0895,-203.203,524.332,-9.20223,-277.096,522.808,27.4857,-237.755,547.953,132.523,-222.668,573.056,164.793,-210.658,590.974,209.027,-180.289,544.013,218.828,-197.677,536.805,176.197,-214.879,521.491,142.601,-109.073,666.333,336.223,-74.6569,570.848,301.176,-98.1267,598.968,340.464,46.246,520.53,249.255,46.4228,532.654,273.021,87.7729,537.546,270.07,86.8376,526.991,245.653,,,,,,
-229.914,252.813,45.4857,-299.534,258.066,31.6859,-293.905,434.877,51.5601,-287.584,369.445,53.4805,-230.347,364.947,57.7674,-229.877,419.172,68.0885,-203.198,524.33,-9.20474,-277.092,522.808,27.4833,-237.752,547.955,132.521,-222.665,573.058,164.791,-210.656,590.976,209.025,-180.288,544.016,218.828,-197.675,536.806,176.196,-214.876,521.492,142.6,-109.071,666.334,336.224,-74.656,570.849,301.177,-98.1252,598.968,340.465,46.2491,520.53,249.255,46.4246,532.654,273.023,87.7753,537.546,270.072,86.8408,526.991,245.655,,,,,,
-229.914,252.814,45.4861,-299.534,258.067,31.6853,-293.902,434.879,51.5598,-287.582,369.446,53.4799,-230.345,364.948,57.767,-229.874,419.173,68.0876,-203.194,524.328,-9.20714,-277.088,522.809,27.4809,-237.749,547.957,132.52,-222.662,573.061,164.789,-210.653,590.979,209.024,-180.287,544.018,218.829,-197.673,536.808,176.196,-214.874,521.493,142.599,-109.07,666.334,336.224,-74.6553,570.849,301.178,-98.1237,598.969,340.465,46.2521,520.53,249.256,46.4261,532.654,273.024,87.7775,537.546,270.074,86.8437,526.99,245.657,,,,,,
-229.914,252.814,45.4864,-299.534,258.068,31.6847,-293.898,434.88,51.5597,-287.58,369.447,53.4793,-230.343,364.948,57.7667,-229.871,419.173,68.0866,-203.19,524.326,-9.20943,-277.084,522.809,27.4787,-237.747,547.959,132.518,-222.659,573.064,164.787,-210.651,590.982,209.023,-180.286,544.021,218.83,-197.672,536.81,176.195,-214.871,521.493,142.598,-109.068,666.335,336.224,-74.6546,570.849,301.179,-98.1224,598.97,340.465,46.2548,520.529,249.257,46.4276,532.654,273.025,87.7796,537.546,270.077,86.8464,526.99,245.658,,,,,,
-229.915,252.815,45.4867,-299.534,258.069,31.6842,-293.895,434.881,51.5595,-287.577,369.448,53.4787,-230.34,364.948,57.7663,-229.868,419.174,68.0858,-203.186,524.324,-9.21159,-277.08,522.809,27.4766,-237.745,547.962,132.517,-222.656,573.067,164.785,-210.648,590.985,209.021,-180.286,544.024,218.83,-197.67,536.812,176.195,-214.869,521.494,142.598,-109.066,666.336,336.225,-74.6541,570.85,301.18,-98.1212,598.971,340.466,46.2573,520.529,249.258,46.4289,532.654,273.027,87.7815,537.546,270.079,86.8489,526.989,245.66,,,,,,
-229.915,252.815,45.487,-299.534,258.07,31.6838,-293.892,434.882,51.5595,-287.575,369.449,53.4782,-230.338,364.948,57.766,-229.865,419.174,68.0849,-203.182,524.322,-9.21363,-277.076,522.81,27.4745,-237.743,547.964,132.515,-222.654,573.07,164.783,-210.646,590.988,209.02,-180.285,544.027,218.831,-197.669,536.814,176.195,-214.868,521.495,142.597,-109.065,666.337,336.225,-74.6536,570.85,301.181,-98.1201,598.972,340.466,46.2597,520.529,249.259,46.4301,532.654,273.028,87.7832,537.545,270.081,86.8513,526.989,245.662,,,,,,
-229.915,252.815,45.4873,-299.534,258.071,31.6833,-293.888,434.883,51.5596,-287.573,369.45,53.4777,-230.336,364.949,57.7657,-229.861,419.175,68.0842,-203.178,524.32,-9.21554,-277.073,522.81,27.4726,-237.741,547.967,132.514,-222.652,573.073,164.781,-210.644,590.992,209.018,-180.285,544.03,218.832,-197.668,536.816,176.195,-214.866,521.497,142.597,-109.064,666.338,336.225,-74.6532,570.851,301.182,-98.1191,598.973,340.467,46.2619,520.529,249.26,46.4312,532.653,273.03,87.7848,537.545,270.083,86.8534,526.988,245.664,,,,,,
-229.915,252.816,45.4876,-299.534,258.072,31.6829,-293.885,434.884,51.5597,-287.57,369.451,53.4772,-230.333,364.949,57.7653,-229.858,419.175,68.0835,-203.174,524.318,-9.21732,-277.069,522.81,27.4708,-237.739,547.97,132.513,-222.649,573.076,164.779,-210.642,590.995,209.017,-180.285,544.033,218.833,-197.668,536.819,176.195,-214.865,521.498,142.596,-109.063,666.339,336.225,-74.653,570.852,301.183,-98.1182,598.974,340.467,46.2639,520.529,249.261,46.4322,532.653,273.031,87.7862,537.545,270.086,86.8554,526.988,245.666,,,,,,
