 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-241.578954,408.796170,27.042324,-308.032900,414.301436,24.638811,-312.519831,594.570521,-9.860861,-305.934423,505.073981,12.699186,-256.618100,506.713458,31.088580,-260.057487,582.544810,35.475656,-224.622659,682.961833,-48.978256,-301.927742,669.541806,-9.756648,-275.938751,682.164239,91.646699,-265.114573,689.506011,136.885085,-252.900262,701.494936,209.813287,-236.444183,659.181937,207.669790,-246.047433,655.001002,146.868553,-262.123699,648.639274,101.332447,-174.659207,746.263821,314.578317,-133.801113,660.168761,313.690611,-169.595601,692.944495,330.946226,-17.355794,610.390607,262.692399,-14.264866,622.680667,289.188804,28.703671,623.194101,287.168525,28.004730,607.072734,264.633468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.583620,408.798636,27.041255,-308.037967,414.303079,24.635467,-312.526535,594.572063,-9.868172,-305.939843,505.076488,12.692910,-256.624331,506.716219,31.085276,-260.065244,582.546662,35.472100,-224.627292,682.964042,-48.987980,-301.933180,669.543055,-9.767892,-275.948764,682.164573,91.637151,-265.125442,689.505586,136.875934,-252.913130,701.494772,209.806108,-236.458309,659.181687,207.664068,-246.060319,655.000023,146.860635,-262.134803,648.639767,101.322583,-174.666937,746.275289,314.569105,-133.808733,660.183687,313.681991,-169.606229,692.956599,330.940630,-17.362407,610.388085,262.680276,-14.274049,622.676345,289.179452,28.695822,623.191884,287.162992,27.996833,607.072427,264.624792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.588435,408.801363,27.040560,-308.043127,414.304946,24.632496,-312.533393,594.573625,-9.875528,-305.945414,505.079096,12.686944,-256.630676,506.719226,31.082155,-260.072937,582.548913,35.468272,-224.632280,682.966333,-48.998232,-301.938925,669.544363,-9.779306,-275.958611,682.164748,91.627279,-265.136137,689.505119,136.866439,-252.925411,701.494973,209.798392,-236.471605,659.181797,207.657954,-246.072811,654.998903,146.852414,-262.145419,648.640105,101.312223,-174.674316,746.286838,314.559001,-133.815923,660.198385,313.672506,-169.616470,692.968813,330.934177,-17.369026,610.385908,262.667777,-14.283106,622.672184,289.169711,28.688056,623.189804,287.156926,27.988952,607.072425,264.615561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.593381,408.804336,27.040242,-308.048362,414.307027,24.629905,-312.540390,594.575189,-9.882932,-305.951107,505.081789,12.681284,-256.637110,506.722464,31.079210,-260.080535,582.551556,35.464152,-224.637616,682.968690,-49.009002,-301.944964,669.545713,-9.790894,-275.968284,682.164763,91.617081,-265.146653,689.504612,136.856595,-252.937112,701.495532,209.790137,-236.484086,659.182260,207.651445,-246.084906,654.997646,146.843887,-262.155545,648.640286,101.301369,-174.681357,746.298458,314.548017,-133.822698,660.212856,313.662167,-169.626338,692.981126,330.926880,-17.375653,610.384069,262.654901,-14.292042,622.668178,289.159585,28.680367,623.187857,287.150333,27.981081,607.072724,264.605780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.598440,408.807539,27.040301,-308.053650,414.309309,24.627700,-312.547506,594.576731,-9.890384,-305.956893,505.084547,12.675925,-256.643607,506.725913,31.076437,-260.088001,582.554582,35.459717,-224.643290,682.971096,-49.020279,-301.951285,669.547085,-9.802658,-275.977769,682.164617,91.606552,-265.156982,689.504067,136.846399,-252.948237,701.496441,209.781339,-236.495763,659.183068,207.644537,-246.096594,654.996255,146.835052,-262.165172,648.640309,101.290021,-174.688071,746.310135,314.536166,-133.829071,660.227099,313.650992,-169.635847,692.993524,330.918749,-17.382293,610.382563,262.641651,-14.300864,622.664324,289.149076,28.672751,623.186043,287.143222,27.973218,607.073317,264.595456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.603591,408.810954,27.040739,-308.058967,414.311775,24.625887,-312.554716,594.578230,-9.897884,-305.962735,505.087351,12.670864,-256.650133,506.729551,31.073831,-260.095295,582.557979,35.454944,-224.649290,682.973529,-49.032053,-301.957867,669.548455,-9.814601,-275.987052,682.164311,91.595688,-265.167111,689.503487,136.835846,-252.958790,701.497692,209.771996,-236.506646,659.184213,207.637228,-246.107867,654.994736,146.825908,-262.174290,648.640172,101.278185,-174.694471,746.321853,314.523465,-133.835057,660.241107,313.638997,-169.645010,693.005990,330.909800,-17.388947,610.381383,262.628031,-14.309577,622.660620,289.138189,28.665203,623.184358,287.135600,27.965360,607.074201,264.584595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.608810,408.814560,27.041554,-308.064283,414.314411,24.624473,-312.561993,594.579659,-9.905432,-305.968596,505.090177,12.666097,-256.656653,506.733354,31.071385,-260.102369,582.561736,35.449809,-224.655600,682.975967,-49.044309,-301.964689,669.549801,-9.826724,-275.996113,682.163843,91.584488,-265.177026,689.502873,136.824934,-252.968772,701.499277,209.762107,-236.516743,659.185685,207.629513,-246.118711,654.993092,146.816453,-262.182887,648.639872,101.265865,-174.700567,746.333594,314.509934,-133.840668,660.254874,313.626201,-169.653839,693.018504,330.900048,-17.395616,610.380523,262.614045,-14.318186,622.657063,289.126931,28.657720,623.182801,287.127475,27.957505,607.075370,264.573208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.614070,408.818334,27.042746,-308.069570,414.317198,24.623466,-312.569305,594.580991,-9.913029,-305.974432,505.093001,12.661620,-256.663127,506.737297,31.069093,-260.109175,582.565839,35.444283,-224.662199,682.978385,-49.057033,-301.971726,669.551096,-9.839028,-276.004929,682.163212,91.572950,-265.186709,689.502230,136.813658,-252.978180,701.501186,209.751670,-236.526059,659.187475,207.621389,-246.129107,654.991331,146.806687,-262.190946,648.639407,101.253065,-174.706371,746.345336,314.495591,-133.845917,660.268389,313.612624,-169.662346,693.031043,330.889507,-17.402301,610.379979,262.599702,-14.326692,622.653650,289.115308,28.650301,623.181370,287.118859,27.949653,607.076819,264.561302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.619340,408.822252,27.044314,-308.074792,414.320118,24.622872,-312.576616,594.582196,-9.920676,-305.980197,505.095797,12.657427,-256.669513,506.741350,31.066945,-260.115656,582.570272,35.438338,-224.669066,682.980754,-49.070212,-301.978948,669.552312,-9.851517,-276.013477,682.162417,91.561069,-265.196139,689.501558,136.802017,-252.987011,701.503410,209.740681,-236.534597,659.189575,207.612851,-246.139037,654.989456,146.796608,-262.198449,648.638774,101.239792,-174.711891,746.357054,314.480456,-133.850816,660.281638,313.598286,-169.670539,693.043581,330.878194,-17.409002,610.379744,262.585006,-14.335099,622.650380,289.103328,28.642942,623.180064,287.109758,27.941803,607.078545,264.548887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.624589,408.826289,27.046255,-308.079914,414.323150,24.622697,-312.583887,594.583244,-9.928375,-305.985844,505.098536,12.653515,-256.675762,506.745485,31.064931,-260.121754,582.575018,35.431942,-224.676174,682.983046,-49.083831,-301.986323,669.553420,-9.864191,-276.021726,682.161455,91.548844,-265.205293,689.500861,136.790006,-252.995257,701.505941,209.729138,-236.542357,659.191973,207.603894,-246.148477,654.987474,146.786214,-262.205372,648.637970,101.226051,-174.717138,746.368720,314.464551,-133.855374,660.294605,313.583205,-169.678428,693.056088,330.866122,-17.415718,610.379816,262.569968,-14.343406,622.647253,289.090998,28.635645,623.178883,287.100182,27.933956,607.080543,264.535972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.629783,408.830417,27.048567,-308.084896,414.326272,24.622948,-312.591075,594.584103,-9.936128,-305.991320,505.101190,12.649875,-256.681825,506.749670,31.063042,-260.127407,582.580059,35.425061,-224.683493,682.985230,-49.097875,-301.993814,669.554389,-9.877054,-276.029645,682.160325,91.536270,-265.214143,689.500141,136.777620,-253.002909,701.508767,209.717036,-236.549335,659.194660,207.594512,-246.157399,654.985391,146.775502,-262.211690,648.636992,101.211847,-174.722119,746.380305,314.447894,-133.859601,660.307270,313.567403,-169.686021,693.068535,330.853306,-17.422447,610.380191,262.554593,-14.351615,622.644269,289.078326,28.628409,623.177827,287.090138,27.926114,607.082810,264.522567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.634884,408.834606,27.051245,-308.089697,414.329462,24.623629,-312.598132,594.584740,-9.943941,-305.996569,505.103727,12.646502,-256.687648,506.753871,31.061264,-260.132547,582.585375,35.417660,-224.690987,682.987271,-49.112332,-302.001380,669.555186,-9.890110,-276.037201,682.159024,91.523344,-265.222660,689.499401,136.764856,-253.009956,701.511880,209.704370,-236.555526,659.197625,207.584696,-246.165775,654.983211,146.764470,-262.217375,648.635835,101.197185,-174.726842,746.391775,314.430507,-133.863505,660.319612,313.550897,-169.693322,693.080888,330.839758,-17.429189,610.380867,262.538891,-14.359724,622.641429,289.065319,28.621234,623.176896,287.079635,27.918278,607.085342,264.508679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.639853,408.838825,27.054280,-308.094272,414.332697,24.624744,-312.605009,594.585118,-9.951817,-306.001535,505.106116,12.643386,-256.693176,506.758053,31.059583,-260.137104,582.590943,35.409702,-224.698619,682.989135,-49.127189,-302.008978,669.555776,-9.903365,-276.044355,682.157548,91.510060,-265.230813,689.498641,136.751707,-253.016384,701.515270,209.691134,-236.560922,659.200860,207.574439,-246.173571,654.980942,146.753112,-262.222396,648.634495,101.182071,-174.731314,746.403098,314.412410,-133.867095,660.331607,313.533707,-169.700338,693.093110,330.825491,-17.435942,610.381841,262.522869,-14.367731,622.638734,289.051984,28.614122,623.176092,287.068678,27.910451,607.088139,264.494317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
