 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
113.403,349.752,31.0197,183.432,343.285,21.0675,109.971,503.944,71.2919,115.187,441.671,51.1851,157.074,449.364,77.79,152.883,513.588,104.142,125.175,614.258,30.4947,176.833,593.904,101.518,118.357,631.403,157.577,107.532,659.02,179.366,97.844,684.548,202.486,129.007,713.099,183.85,138.571,681.995,168.141,146.111,650.943,148.976,61.4237,847.211,287.434,16.451,757.285,288.043,48.4348,791.367,303.94,-132.802,695.571,218.391,-136.893,706.402,247.89,-92.1802,708.12,255.038,-89.439,697.166,225.305
113.401,349.752,31.0168,183.435,343.283,21.0672,109.975,503.944,71.2932,115.189,441.671,51.1846,157.075,449.363,77.7909,152.886,513.587,104.143,125.178,614.258,30.4925,176.839,593.903,101.518,118.36,631.403,157.574,107.535,659.022,179.361,97.8424,684.551,202.479,129.006,713.102,183.846,138.572,681.996,168.138,146.112,650.944,148.973,61.4224,847.22,287.43,16.4465,757.3,288.036,48.434,791.377,303.94,-132.803,695.577,218.401,-136.892,706.412,247.899,-92.1785,708.129,255.047,-89.4366,697.169,225.315
113.4,349.751,31.0137,183.439,343.28,21.0668,109.979,503.944,71.2946,115.19,441.67,51.1844,157.077,449.361,77.7918,152.89,513.586,104.144,125.182,614.258,30.4899,176.844,593.902,101.516,118.364,631.402,157.57,107.539,659.024,179.356,97.8402,684.553,202.472,129.005,713.105,183.841,138.573,681.998,168.135,146.114,650.945,148.97,61.4212,847.228,287.426,16.442,757.314,288.031,48.4331,791.387,303.94,-132.804,695.584,218.411,-136.892,706.422,247.908,-92.1777,708.139,255.056,-89.4351,697.173,225.324
113.398,349.751,31.0105,183.444,343.278,21.0664,109.984,503.945,71.2963,115.192,441.669,51.1846,157.079,449.36,77.7928,152.895,513.585,104.145,125.185,614.258,30.4869,176.85,593.902,101.514,118.369,631.403,157.566,107.542,659.027,179.351,97.8376,684.556,202.465,129.004,713.108,183.836,138.575,682,168.131,146.115,650.947,148.966,61.42,847.237,287.422,16.4375,757.329,288.026,48.4322,791.396,303.94,-132.806,695.591,218.42,-136.894,706.432,247.917,-92.1778,708.149,255.065,-89.4345,697.178,225.333
113.397,349.751,31.0074,183.449,343.275,21.066,109.99,503.946,71.2981,115.195,441.669,51.1851,157.083,449.359,77.7937,152.9,513.585,104.146,125.189,614.259,30.4835,176.856,593.903,101.511,118.373,631.403,157.561,107.545,659.031,179.344,97.8343,684.558,202.458,129.003,713.111,183.831,138.577,682.002,168.127,146.118,650.949,148.962,61.4188,847.246,287.418,16.4331,757.343,288.022,48.4311,791.406,303.94,-132.809,695.599,218.43,-136.896,706.443,247.926,-92.1788,708.159,255.074,-89.4348,697.183,225.343
113.396,349.751,31.0043,183.455,343.273,21.0655,109.995,503.947,71.3,115.198,441.669,51.1859,157.087,449.358,77.7946,152.906,513.586,104.146,125.193,614.26,30.4795,176.863,593.905,101.506,118.378,631.404,157.555,107.548,659.034,179.338,97.8305,684.56,202.45,129.002,713.115,183.825,138.579,682.006,168.122,146.12,650.952,148.956,61.4175,847.255,287.414,16.4287,757.357,288.019,48.4299,791.417,303.939,-132.813,695.607,218.439,-136.898,706.455,247.934,-92.1808,708.17,255.082,-89.436,697.19,225.352
113.396,349.751,31.0013,183.46,343.271,21.0651,110.002,503.948,71.302,115.202,441.668,51.1872,157.092,449.358,77.7953,152.913,513.587,104.146,125.197,614.262,30.475,176.87,593.907,101.501,118.382,631.406,157.549,107.551,659.038,179.33,97.826,684.563,202.442,129.001,713.12,183.819,138.581,682.009,168.116,146.123,650.956,148.951,61.4163,847.265,287.41,16.4244,757.37,288.016,48.4286,791.427,303.939,-132.818,695.616,218.448,-136.902,706.467,247.943,-92.1836,708.181,255.091,-89.438,697.196,225.362
113.396,349.751,30.9987,183.466,343.269,21.0645,110.008,503.95,71.304,115.207,441.668,51.1888,157.098,449.358,77.7959,152.921,513.588,104.146,125.201,614.264,30.4699,176.876,593.91,101.495,118.387,631.408,157.542,107.552,659.042,179.322,97.8209,684.565,202.434,129,713.125,183.813,138.584,682.014,168.11,146.127,650.96,148.944,61.4151,847.274,287.406,16.4202,757.383,288.014,48.4272,791.437,303.937,-132.824,695.626,218.457,-136.907,706.48,247.952,-92.1874,708.193,255.099,-89.4411,697.203,225.371
113.397,349.751,30.9963,183.473,343.268,21.064,110.015,503.952,71.3058,115.211,441.669,51.1908,157.104,449.359,77.7962,152.929,513.591,104.144,125.205,614.267,30.4642,176.883,593.914,101.488,118.391,631.41,157.534,107.554,659.046,179.314,97.8151,684.568,202.426,128.998,713.13,183.807,138.587,682.018,168.103,146.13,650.965,148.937,61.4138,847.284,287.402,16.4161,757.396,288.013,48.4256,791.447,303.936,-132.83,695.636,218.466,-136.912,706.492,247.96,-92.1921,708.204,255.108,-89.445,697.211,225.38
113.398,349.752,30.9945,183.479,343.267,21.0634,110.022,503.954,71.3075,115.217,441.669,51.1931,157.111,449.361,77.7963,152.938,513.594,104.143,125.209,614.271,30.4578,176.889,593.919,101.479,118.394,631.413,157.526,107.554,659.051,179.304,97.8085,684.57,202.418,128.997,713.135,183.801,138.589,682.024,168.096,146.133,650.97,148.93,61.4126,847.294,287.397,16.4122,757.407,288.013,48.424,791.457,303.934,-132.838,695.647,218.474,-136.919,706.506,247.968,-92.1978,708.216,255.116,-89.4498,697.219,225.389
113.4,349.753,30.9932,183.485,343.266,21.0628,110.028,503.957,71.3089,115.223,441.67,51.1958,157.119,449.363,77.7961,152.947,513.598,104.14,125.213,614.275,30.4507,176.895,593.925,101.469,118.397,631.416,157.516,107.554,659.056,179.295,97.8012,684.572,202.41,128.995,713.141,183.795,138.592,682.03,168.089,146.137,650.976,148.921,61.4113,847.303,287.393,16.4084,757.418,288.014,48.4222,791.467,303.932,-132.846,695.658,218.482,-136.926,706.519,247.976,-92.2044,708.228,255.124,-89.4556,697.229,225.397
113.403,349.754,30.9927,183.491,343.267,21.0622,110.035,503.961,71.31,115.229,441.671,51.1988,157.127,449.366,77.7955,152.956,513.603,104.137,125.217,614.28,30.443,176.9,593.932,101.459,118.399,631.42,157.506,107.552,659.062,179.284,97.7932,684.574,202.402,128.993,713.147,183.788,138.595,682.036,168.081,146.14,650.983,148.912,61.41,847.313,287.389,16.4049,757.428,288.015,48.4203,791.476,303.929,-132.855,695.67,218.49,-136.934,706.533,247.983,-92.2119,708.241,255.132,-89.4624,697.238,225.406
113.406,349.755,30.9931,183.497,343.267,21.0615,110.041,503.964,71.3106,115.236,441.673,51.2021,157.136,449.37,77.7945,152.965,513.608,104.133,125.22,614.286,30.4346,176.905,593.94,101.447,118.4,631.424,157.495,107.549,659.067,179.274,97.7844,684.576,202.395,128.991,713.153,183.782,138.597,682.042,168.073,146.143,650.99,148.903,61.4087,847.323,287.384,16.4016,757.438,288.018,48.4183,791.485,303.926,-132.865,695.683,218.498,-136.943,706.547,247.991,-92.2203,708.253,255.14,-89.4701,697.248,225.414
113.411,349.757,30.9945,183.502,343.269,21.0609,110.046,503.969,71.3107,115.243,441.675,51.2055,157.145,449.375,77.7931,152.974,513.615,104.128,125.223,614.292,30.4256,176.908,593.948,101.434,118.399,631.429,157.483,107.545,659.073,179.263,97.7747,684.577,202.387,128.989,713.159,183.776,138.599,682.049,168.065,146.146,650.998,148.893,61.4073,847.332,287.38,16.3985,757.446,288.021,48.4162,791.494,303.922,-132.876,695.695,218.505,-136.953,706.562,247.998,-92.2297,708.266,255.147,-89.4787,697.258,225.422
113.416,349.759,30.997,183.506,343.271,21.0603,110.051,503.973,71.3101,115.249,441.677,51.2091,157.154,449.38,77.7911,152.982,513.623,104.122,125.225,614.299,30.416,176.911,593.957,101.42,118.397,631.434,157.47,107.539,659.078,179.251,97.7644,684.578,202.38,128.986,713.165,183.77,138.601,682.056,168.056,146.148,651.006,148.882,61.4059,847.342,287.375,16.3957,757.453,288.025,48.4139,791.502,303.918,-132.887,695.709,218.511,-136.963,706.576,248.004,-92.24,708.278,255.154,-89.4883,697.269,225.429
