 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
174.391,340.705,57.9885,223.866,329.437,21.8958,267.344,513.154,86.4021,241.533,457.162,73.8557,268.011,445.515,30.34,285.744,513.591,41.1873,227.927,598.358,18.0449,293.975,574.47,55.3029,259.212,581.473,146.668,240.877,597.104,195.553,231.003,610.194,239.041,254.552,640.429,229.575,262.82,631.246,186.253,274.326,619.147,138.037,174.102,742.834,333.575,137.155,641.707,319.145,157.28,669.599,352.354,0.375356,623.727,280.993,1.38278,633.166,310.248,45.0486,631.751,308.559,45.3331,619.788,279.934,,,,,,
173.986,340.534,58.5157,223.294,329.136,22.1668,267.255,512.835,86.718,241.354,456.861,74.2226,267.702,445.138,30.638,285.625,513.187,41.4906,228.021,598.041,18.2533,293.988,574.063,55.5819,259.186,581.228,146.913,240.837,596.922,195.77,230.953,610.066,239.234,254.536,640.282,229.753,262.821,631.041,186.451,274.352,618.877,138.25,174.084,742.821,333.624,137.094,641.702,319.219,157.216,669.608,352.429,0.362045,623.7,280.999,1.36925,633.132,310.257,45.035,631.72,308.573,45.3209,619.752,279.94,,,,,,
173.553,340.349,59.028,222.698,328.823,22.4318,267.149,512.494,87.0358,241.155,456.542,74.5864,267.374,444.743,30.9345,285.494,512.763,41.7984,228.109,597.706,18.4653,293.993,573.634,55.8673,259.15,580.968,147.161,240.789,596.729,195.988,230.898,609.93,239.429,254.515,640.123,229.932,262.817,630.822,186.651,274.373,618.59,138.465,174.068,742.806,333.672,137.033,641.697,319.292,157.152,669.615,352.503,0.347996,623.674,281.004,1.35504,633.099,310.266,45.0208,631.688,308.587,45.3078,619.717,279.945,,,,,,
173.092,340.151,59.5254,222.078,328.497,22.6903,267.026,512.132,87.3553,240.936,456.204,74.9467,267.027,444.329,31.2292,285.351,512.317,42.1104,228.192,597.356,18.6806,293.99,573.183,56.1587,259.106,580.693,147.413,240.734,596.525,196.209,230.838,609.785,239.624,254.492,639.954,230.111,262.808,630.589,186.854,274.389,618.286,138.684,174.051,742.789,333.719,136.97,641.69,319.364,157.089,669.621,352.577,0.33321,623.648,281.009,1.34016,633.065,310.275,45.0059,631.657,308.6,45.294,619.681,279.95,,,,,,
172.603,339.94,60.0075,221.434,328.16,22.9419,266.887,511.75,87.6759,240.696,455.849,75.3033,266.661,443.898,31.5216,285.196,511.85,42.4262,228.268,596.989,18.8992,293.979,572.709,56.4557,259.053,580.403,147.669,240.671,596.311,196.432,230.772,609.632,239.822,254.465,639.775,230.292,262.796,630.343,187.058,274.4,617.965,138.906,174.036,742.77,333.766,136.906,641.681,319.436,157.025,669.625,352.649,0.317689,623.623,281.014,1.3246,633.032,310.283,44.9903,631.626,308.613,45.2793,619.646,279.955,,,,,,
172.087,339.715,60.474,220.767,327.811,23.1862,266.731,511.348,87.9973,240.436,455.476,75.6558,266.276,443.449,31.8116,285.029,511.364,42.7452,228.337,596.606,19.1208,293.96,572.214,56.7579,258.991,580.099,147.929,240.601,596.087,196.656,230.701,609.471,240.02,254.434,639.585,230.474,262.78,630.084,187.264,274.405,617.627,139.131,174.021,742.75,333.813,136.841,641.672,319.507,156.96,669.627,352.721,0.301432,623.597,281.018,1.30837,632.999,310.292,44.9739,631.594,308.626,45.2639,619.61,279.96,,,,,,
171.544,339.478,60.9248,220.078,327.452,23.4228,266.559,510.926,88.3192,240.157,455.086,76.0039,265.874,442.984,32.0987,284.85,510.859,43.0671,228.4,596.208,19.345,293.932,571.699,57.0649,258.92,579.781,148.191,240.524,595.852,196.881,230.624,609.302,240.219,254.4,639.385,230.656,262.759,629.812,187.471,274.404,617.273,139.358,174.006,742.728,333.859,136.775,641.662,319.578,156.896,669.628,352.793,0.284443,623.572,281.023,1.29146,632.966,310.301,44.9569,631.563,308.639,45.2476,619.575,279.964,,,,,,
170.976,339.228,61.3596,219.366,327.082,23.6512,266.371,510.486,88.6409,239.858,454.679,76.3472,265.453,442.503,32.3826,284.659,510.335,43.3912,228.455,595.796,19.5718,293.895,571.164,57.3761,258.839,579.448,148.456,240.438,595.609,197.108,230.541,609.125,240.418,254.363,639.176,230.839,262.734,629.528,187.68,274.398,616.904,139.587,173.992,742.704,333.904,136.708,641.65,319.648,156.832,669.627,352.863,0.266722,623.547,281.028,1.27388,632.933,310.309,44.9392,631.531,308.652,45.2306,619.54,279.969,,,,,,
170.383,338.967,61.7782,218.632,326.702,23.8711,266.166,510.027,88.9621,239.54,454.256,76.6852,265.015,442.007,32.6628,284.455,509.793,43.717,228.503,595.369,19.8008,293.849,570.609,57.6911,258.75,579.103,148.724,240.345,595.355,197.335,230.453,608.94,240.619,254.322,638.956,231.022,262.704,629.231,187.89,274.385,616.519,139.818,173.979,742.678,333.948,136.64,641.638,319.717,156.768,669.624,352.933,0.248271,623.522,281.032,1.25563,632.9,310.317,44.9208,631.5,308.664,45.2127,619.505,279.974,,,,,,
169.766,338.693,62.1806,217.878,326.312,24.082,265.946,509.551,89.2823,239.203,453.817,77.0178,264.561,441.495,32.9391,284.239,509.234,44.0441,228.543,594.928,20.0318,293.794,570.035,58.0094,258.652,578.744,148.994,240.245,595.092,197.564,230.36,608.748,240.819,254.277,638.727,231.206,262.67,628.923,188.101,274.366,616.12,140.051,173.965,742.65,333.992,136.571,641.624,319.785,156.704,669.62,353.002,0.229093,623.497,281.036,1.2367,632.868,310.325,44.9017,631.469,308.676,45.194,619.47,279.978,,,,,,
