Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-142.08995788569288,45.17031510859228,90.1147142394574,-275.5390238960679,-112.03103825659973,-161.5567815589227,-140.0760541789533,-324.0886707112193,-158.78096911803385,-51.41928062833533,-34.63768541296446,-38.20176415421306
-142.10163855385383,44.95222973000085,89.85133936715488,-274.77107408384154,-112.04615235510353,-162.47367307830385,-139.12560606635444,-323.94504247182743,-160.71677158197176,-51.510362891394216,-34.51151476214983,-38.30241598811848
-142.0814669966,44.85958241240009,89.56138577290447,-273.8970480790469,-112.17996216497338,-163.18100893121508,-138.11855540668432,-324.0357047297298,-162.30026437916712,-52.058308441452816,-34.677445475981585,-37.46847059471667
-141.96112067837544,45.0621679515464,89.33481815356103,-273.3528999295541,-112.30003089444922,-163.4778120293849,-137.53267350431022,-324.2250003462116,-162.63623464058875,-53.26825632913435,-35.52517773746228,-35.005379863114435
-141.78754327945302,45.53995874397532,89.2349684195394,-274.0982408448469,-111.49260847772621,-163.38412111470214,-139.3338970742803,-323.982491265855,-160.27959425407852,-54.816137694452785,-36.825209623973,-31.38829013569088
-141.51776480000333,46.476600600130354,89.29210107456042,-276.4198037206605,-109.18277997781553,-163.44546086029555,-145.53800136447845,-322.06158546855784,-153.9590316178516,-56.182664631943375,-38.09477709231373,-27.943452318109586
-141.2368030574238,47.83296405320884,89.459648215772,-280.62542282699764,-104.23945898943145,-164.0931133687117,-158.18398945898193,-316.2782508824052,-144.41702487435262,-57.4375177646467,-38.706680626720505,-25.16523786718754
-140.9267366486248,49.775521609195394,89.632942086228,-286.53395835283413,-95.97707401846077,-165.23006564108618,-177.07340863296665,-304.6992249777255,-134.39971738463424,-59.14129112903222,-38.28075438449236,-22.546316481555674
-140.70657968171548,52.18031516317231,89.64250495695677,-292.90350466222947,-84.27465575359636,-167.07764513417172,-200.6211168790715,-286.86708106444496,-127.91483679885278,-61.715687777885535,-36.413138634368636,-19.2842825436131
-140.57632180082763,55.0904574494049,89.31746315061697,-298.18081073684306,-70.51118559919539,-169.56143723980003,-224.9454781054659,-264.71097981512276,-127.83334283211907,-64.85041478420112,-33.21169392733946,-15.295182886272269
-140.67352584183598,58.178619963095954,88.50458635725336,-301.34532534737616,-56.532949199105474,-172.579112256377,-246.4487130691583,-241.76433291884385,-134.56324154762157,-67.86099847877713,-29.06747330210896,-10.999384056025853
-140.9791073353607,61.31187269888695,87.13540590538159,-301.9250806351378,-44.66551946871649,-175.9561463091401,-261.84177089761295,-221.60712412165933,-145.2422203086191,-70.1621096090912,-24.860606391415853,-7.248837781746767
-141.59005407355525,64.03650555016557,85.21715029707465,-300.17907552167935,-35.840079864249155,-179.88546490894413,-270.5644615449516,-206.0380261418452,-156.15441838034945,-71.66322774165185,-21.27066253999875,-4.570237688101358
-142.39700155990948,66.27428231530675,82.86691106371427,-296.48055615381526,-30.518265783621192,-184.47018058679677,-272.90821394614306,-195.3829555785927,-164.92753824708845,-72.48723502929016,-18.81914694599791,-3.186229934092709
-143.4042618746832,67.75355523403213,80.26273743563115,-291.55273116872,-28.004152748890426,-189.6709693067308,-270.86662582550645,-189.37175555128454,-172.09709129098064,-72.88242598558651,-17.251329551083035,-2.7536341727467604
-144.40086577417333,68.71880605209896,77.64684217730333,-286.0066135647054,-28.009782617543863,-194.9472185824412,-265.5745407183417,-187.62047948737163,-178.85227094425935,-73.0439684775589,-16.26674864222154,-2.7527953828016374
-145.35038172285485,69.1786220988642,75.2366408680925,-280.86918014353006,-29.371938117463234,-199.66080033247397,-259.146604295556,-188.72001320035804,-185.50232933374951,-73.21400617907234,-15.557420191418984,-2.353131421452289
-146.04744525284923,69.5911710130531,73.20658441265805,-276.9061868313952,-31.593694796058248,-203.06256585520535,-252.7156381047261,-190.82376456120738,-190.71720661779213,-73.35822936143808,-15.437764713460947,-1.4185289836638508
-146.5583704362149,69.95120073308642,71.59731425473717,-274.78080271520764,-33.61961073356216,-204.97852050442538,-248.25978568222834,-192.59720852015923,-194.01206623722203,-73.36776072428671,-15.88826074381443,-0.38930116775272383
-146.80467384672775,70.5788193824975,70.35526914305458,-274.0886475329646,-35.60330281387176,-205.73428391130793,-245.57670997481813,-193.9990556255704,-195.7953987034968,-73.16060911424664,-16.808634776843395,-0.10644834377022769
-147.00742129290546,71.16337737809599,69.32838842124161,-274.24849389596665,-37.00469209842927,-206.2428637267369,-244.86727423725733,-195.2372675863138,-197.31496349053123,-72.95568556649968,-17.506532990933543,-0.6550662620410385
-147.15329459207703,71.79617768448276,68.39278375883134,-274.4269649630123,-38.36481535095008,-207.0387189546177,-244.7309234011645,-196.52430377906887,-198.76333658004876,-72.85542217016848,-17.801908511452766,-1.7818378576441347
-147.478366869753,71.97313107616333,67.4642958729446,-274.74352108304413,-39.21520380738728,-208.26845668248293,-245.5831435081182,-197.69703528906936,-200.24323015939686,-72.92101039203273,-17.541113098350166,-2.7582895036601345
-147.86776343907314,71.851416762315,66.57967308254773,-275.1715399896292,-40.30164661714496,-209.4583017744039,-246.3928548012971,-198.8396308029399,-201.18042305085734,-72.99374492452519,-17.231492950460545,-3.4023487824141783
-148.47784333318768,71.04394552797031,65.80085387650385,-276.05976306652286,-41.0154005386397,-210.39883956141114,-247.95804880810232,-199.85285587556837,-201.82908260846625,-73.0917555681383,-16.826088479537663,-3.5920849985324312
-149.0743185176229,70.03950186331241,65.22948262094486,-276.9324171683096,-42.11120381190906,-210.88537800373493,-249.03969375376482,-200.90522717212932,-201.930878281079,-73.14117659226189,-16.595482704866992,-3.7694225388521088
-149.80361046099594,68.62166195788359,64.87751154468248,-277.84073521093626,-42.725636575474645,-211.19626383765933,-250.65681929203896,-201.85111429121997,-201.9694489248351,-73.2494841616513,-16.18730615355644,-3.8901617670379594
-150.36344261561572,67.53340326007512,64.74364267547251,-278.22612566841275,-43.85342918809058,-211.3232089392651,-251.33158052274982,-202.86832434901106,-201.51591531545074,-73.31221885844181,-15.9458160722604,-4.204276635679272
-150.9559083683114,66.42465621040691,64.7329414201516,-278.5030058574036,-44.4070394357005,-211.52830805797444,-252.51731974483047,-203.77252717357078,-201.16763996365898,-73.43310672151001,-15.528035427893176,-4.35799438874933
-151.1915687888542,66.07856595196965,64.80962671423626,-278.23969032705014,-45.748648962855995,-211.53191336220308,-252.3385791751666,-204.8162304216484,-200.43398547267478,-73.44666097833021,-15.462449021688444,-4.64649353904654
-151.39774069110763,65.68382161484463,64.8835145618407,-278.1493313474683,-46.21643232895886,-211.561613500469,-253.09370362993383,-205.71852055269963,-200.2343576299931,-73.51894970176748,-15.187366942660047,-4.657562338605813
-151.02222807435066,66.25857158938415,64.98622053693121,-277.3989412929636,-47.9550116956861,-211.28234939475908,-251.8467666607933,-206.8530518551686,-199.6334364037859,-73.43806696192536,-15.41450561268683,-4.9515519338956775
-150.7695083202345,66.17984407668291,65.03354573126398,-277.133234145889,-47.754489202702,-211.34915835191185,-252.95460970078148,-207.69984246702333,-200.15717226724442,-73.58093668962805,-14.944310794645107,-4.736642146030381
